Ciclo;Créditos;CodAsignatura;NomAsignatura;Cod Pre-Requisito;Nom Pre-Requisito
8;2.0;202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;202W0701;ARQUITECTURA DE SOFTWARE
8;2.0;202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;202W0705;INTELIGENCIA ARTIFICIAL
8;3.0;202W0804;MINERÍA DE DATOS;202W0702;BASE DE DATOS II
8;3.0;202W0805;PROGRAMACIÓN CONCURRENTE Y PARALELA;202W0607;SISTEMAS OPERATIVOS
8;3.0;202W0806;SEGURIDAD DEL SOFTWARE;202W0601;ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE
8;3.0;202W0806;SEGURIDAD DEL SOFTWARE;202W0707;REDES Y TRANSMISIÓN DE DATOS
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0701;ARQUITECTURA DE SOFTWARE
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0702;BASE DE DATOS II
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0703;EXPERIENCIA DE USUARIO Y USABILIDAD
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0707;REDES Y TRANSMISIÓN DE DATOS
8;3.0;202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE;202W0706;MÉTODOS FORMALES PARA PRUEBAS
9;2.0;202W0901;DESARROLLO DE TESIS I;202W0803;METODOLOGÍA DE LA INVESTIGACIÓN
9;3.0;202W0902;GARANTÍA DE SOFTWARE;202W0806;SEGURIDAD DEL SOFTWARE
9;3.0;202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;202W0704;GESTIÓN DE PROYECTO DE SOFTWARE
9;3.0;202W0904;GESTIÓN DE MANTENIMIENTO DEL SOFTWARE;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB
9;3.0;202W0905;GESTIÓN DE RIESGO DEL SOFTWARE;202W0704;GESTIÓN DE PROYECTO DE SOFTWARE
9;3.0;202W0906;INTERNET DE LAS COSAS;202W0801;AUTOMATIZACIÓN Y CONTROL DE SOFTWARE
9;3.0;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB
9;3.0;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE
9;3.0;202W0908;SOFTWARE INTELIGENTE;202W0705;INTELIGENCIA ARTIFICIAL
10;3.0;202W1001;ANALÍTICA DE DATOS;202W0802;INTELIGENCIA DE NEGOCIOS
10;3.0;202W1001;ANALÍTICA DE DATOS;202W0908;SOFTWARE INTELIGENTE
10;2.0;202W1002;DESARROLLO DE TESIS II;202W0901;DESARROLLO DE TESIS I
10;4.0;202W1003;PRÁCTICA PRE PROFESIONAL;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL
10;3.0;202W1004;TALLER DE APLICACIONES SOCIALES;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL
10;3.0;202W1005;TENDENCIAS DE ARQUITECTURA DE SOFTWARE;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL
10;3.0;202W1006;TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN;202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN
